,VAR_NAME,MIN_VALUE,MAX_VALUE,COUNT,EVENT,EVENT_RATE,NONEVENT,NON_EVENT_RATE,DIST_EVENT,DIST_NON_EVENT,WOE,IV
61,Lead Source_Reference,0.0,0.0,6044,2131,0.35258107213765716,3913,0.6474189278623428,0.8466428287644021,0.9906329113924051,-0.15706512735194353,0.4251497900039192
62,Lead Source_Reference,1.0,1.0,423,386,0.9125295508274232,37,0.08747044917257683,0.15335717123559794,0.009367088607594937,2.7955673195804582,0.4251497900039192
63,Lead Source_Referral Sites,0.0,0.0,6375,2493,0.3910588235294118,3882,0.6089411764705882,0.9904648390941597,0.9827848101265823,0.007784182554454047,0.00459719003441064
64,Lead Source_Referral Sites,1.0,1.0,92,24,0.2608695652173913,68,0.7391304347826086,0.009535160905840286,0.017215189873417722,-0.5908060120683095,0.00459719003441064
65,Lead Source_Welingak Website,0.0,0.0,6369,2421,0.38012246820536977,3948,0.6198775317946302,0.9618593563766389,0.999493670886076,-0.03838058085546206,0.16409424662483763
66,Lead Source_Welingak Website,1.0,1.0,98,96,0.9795918367346939,2,0.02040816326530612,0.03814064362336114,0.0005063291139240507,4.321848873667743,0.16409424662483763
67,"Specialization_Banking, Investment And Insurance",0.0,0.0,6236,2402,0.3851828094932649,3834,0.6148171905067351,0.954310687326182,0.970632911392405,-0.01695905820580928,0.007491066098845662
68,"Specialization_Banking, Investment And Insurance",1.0,1.0,231,115,0.49783549783549785,116,0.5021645021645021,0.04568931267381804,0.029367088607594936,0.44198980001673716,0.007491066098845662
69,Specialization_Business Administration,0.0,0.0,6183,2392,0.3868672165615397,3791,0.6131327834384603,0.9503377036154151,0.959746835443038,-0.009852137685960768,0.0020691578099331412
70,Specialization_Business Administration,1.0,1.0,284,125,0.44014084507042256,159,0.5598591549295775,0.049662296384584824,0.040253164556962026,0.21005739784192123,0.0020691578099331412
71,Specialization_E-Business,0.0,0.0,6429,2503,0.3893296002488723,3926,0.6106703997511277,0.9944378228049265,0.9939240506329113,0.0005167793552196148,4.565657847766372e-05
72,Specialization_E-Business,1.0,1.0,38,14,0.3684210526315789,24,0.631578947368421,0.0055621771950735005,0.0060759493670886075,-0.08834863797283524,4.565657847766372e-05
73,Specialization_E-COMMERCE,0.0,0.0,6387,2490,0.38985439173320807,3897,0.6101456082667919,0.9892729439809297,0.9865822784810127,0.0027235468798958427,0.0006095184243696083
